date,downloads,package,display_name
2025-05-23,5042,pymc-marketing,PyMC Marketing
2025-05-27,3050,pymc-marketing,PyMC Marketing
2025-05-20,2791,pymc-marketing,PyMC Marketing
2025-05-22,2748,pymc-marketing,PyMC Marketing
2025-05-21,2735,pymc-marketing,PyMC Marketing
2025-05-26,2641,pymc-marketing,PyMC Marketing
2025-05-19,2633,pymc-marketing,PyMC Marketing
2025-05-16,2604,pymc-marketing,PyMC Marketing
2025-04-14,2424,pymc-marketing,PyMC Marketing
2025-04-15,2337,pymc-marketing,PyMC Marketing
2025-05-08,2255,pymc-marketing,PyMC Marketing
2025-05-09,2094,pymc-marketing,PyMC Marketing
2025-04-28,2088,pymc-marketing,PyMC Marketing
2025-05-13,2073,pymc-marketing,PyMC Marketing
2025-04-24,2009,pymc-marketing,PyMC Marketing
2025-05-17,1978,pymc-marketing,PyMC Marketing
2025-05-18,1944,pymc-marketing,PyMC Marketing
2025-05-12,1934,pymc-marketing,PyMC Marketing
2025-04-30,1926,pymc-marketing,PyMC Marketing
2025-04-25,1904,pymc-marketing,PyMC Marketing
2025-04-29,1863,pymc-marketing,PyMC Marketing
2025-05-25,1860,pymc-marketing,PyMC Marketing
2025-05-14,1856,pymc-marketing,PyMC Marketing
2025-05-24,1841,pymc-marketing,PyMC Marketing
2025-05-05,1825,pymc-marketing,PyMC Marketing
2025-05-06,1822,pymc-marketing,PyMC Marketing
2025-05-01,1812,pymc-marketing,PyMC Marketing
2025-05-07,1779,pymc-marketing,PyMC Marketing
2025-05-15,1748,pymc-marketing,PyMC Marketing
2025-04-16,1660,pymc-marketing,PyMC Marketing
2025-04-22,1555,pymc-marketing,PyMC Marketing
2025-04-23,1555,pymc-marketing,PyMC Marketing
2025-05-02,1523,pymc-marketing,PyMC Marketing
2025-03-26,1497,pymc-marketing,PyMC Marketing
2025-04-01,1470,pymc-marketing,PyMC Marketing
2025-03-31,1439,pymc-marketing,PyMC Marketing
2025-04-21,1412,pymc-marketing,PyMC Marketing
2025-04-11,1397,pymc-marketing,PyMC Marketing
2025-04-07,1389,pymc-marketing,PyMC Marketing
2025-04-10,1369,pymc-marketing,PyMC Marketing
2025-03-19,1340,pymc-marketing,PyMC Marketing
